prot,error
boltz_results_4dri_pose1_11_comb_1,No PDB file found
boltz_results_4dri_pose5_55_comb_1,No PDB file found
boltz_results_4dri_pose5_40_comb_1,No PDB file found
boltz_results_4dri_pose2_9_comb_3,No PDB file found
boltz_results_4dri_pose5_40_comb_2,No PDB file found
boltz_results_4dri_pose1_11_comb_3,No PDB file found
boltz_results_4dri_pose3_24_comb_2,No PDB file found
boltz_results_4dri_pose1_11_comb_5,No PDB file found
boltz_results_4dri_pose3_87_comb_1,No PDB file found
boltz_results_4dri_pose2_9_comb_1,No PDB file found
boltz_results_4dri_pose2_9_comb_4,No PDB file found
boltz_results_4dri_pose3_24_comb_3,No PDB file found
boltz_results_4dri_pose3_24_comb_1,No PDB file found
boltz_results_4dri_pose2_9_comb_2,No PDB file found
boltz_results_4dri_pose1_11_comb_4,No PDB file found
boltz_results_4dri_pose2_9_comb_7,No PDB file found
boltz_results_4dri_pose3_87_comb_2,No PDB file found
boltz_results_4dri_pose2_9_comb_6,No PDB file found
boltz_results_4dri_pose2_9_comb_5,No PDB file found
boltz_results_4dri_pose1_11_comb_2,No PDB file found
