protein,minimizedAffinity_avg,CNNscore_avg,CNNaffinity_avg,n_models
1b6k,-8.7311763,0.47458219644000005,7.801401309599999,25
1fap,-9.684575498400001,0.55949913744,7.3876914216,25
1yt9,-8.625171738,0.4906043732,7.9206296732,25
2fdd,-8.6263234132,0.50393800496,7.8754071227999995,25
2fde,-9.0553699872,0.58090308772,8.2470868304,25
2i4d,-8.6325505636,0.52245761752,7.9184560776,25
3fap,-10.0670939992,0.45569208027999997,7.5986612516,25
3o9b,-7.7886732844,0.42320189772,7.0679399108,25
4drh,-10.0397865712,0.5177451122,7.7290968512,25
4dri,-10.2027747708,0.54399168844,7.8718727312,25
4drj,-9.869203298799999,0.55228920932,7.8004934507999995,25
4fap,-10.00606067,0.54560130704,7.7143681904,25
5gpg,-10.1368121368,0.48705914731999994,7.7757913776,25
6d0d,-8.5104298592,0.55628293036,7.8059812736000005,25
6d0e,-8.5266648092,0.52518310436,7.7536164656,25
6oxp,-8.5786745068,0.48181096788,7.8189207836,25
6uwc,-8.5062473472,0.55075938108,7.9712052548,25
6w6s,-9.5902568424,0.5043270588,7.532416725200001,25
6w6t,-8.5528769304,0.4827285694,7.7614842604,25
