filename,model_id,minimizedAffinity,CNNscore,CNNaffinity
2fde_pose2_corrected_78_model_0_docked.pdb,0,-8.82314014,0.785764098,8.64483166
2fde_pose2_corrected_90_model_0_docked.pdb,0,-8.69377041,0.764839888,8.42906761
2fde_pose2_corrected_26_model_0_docked.pdb,0,-8.59105301,0.823195159,8.10193157
2fde_pose2_corrected_6_model_0_docked.pdb,0,-8.581007,0.760234773,8.67638874
2fde_pose2_corrected_1_model_0_docked.pdb,0,-8.5262022,0.794984818,8.42506599
2fde_pose2_corrected_68_model_0_docked.pdb,0,-8.51854324,0.786068022,8.12941742
2fde_pose2_corrected_83_model_0_docked.pdb,0,-8.45928478,0.810595751,8.10664082
2fde_pose2_corrected_20_model_0_docked.pdb,0,-8.2334156,0.788177013,8.84793186
2fde_pose2_corrected_85_model_0_docked.pdb,0,-8.20045567,0.780182779,8.43945026
2fde_pose2_corrected_66_model_0_docked.pdb,0,-8.15066624,0.758621037,8.43016911
2fde_pose2_corrected_89_model_0_docked.pdb,0,-8.05806351,0.842777908,8.45667171
2fde_pose2_corrected_19_model_0_docked.pdb,0,-8.03954601,0.838350475,8.0356226
2fde_pose2_corrected_79_model_0_docked.pdb,0,-7.99172926,0.810367763,9.12027073
2fde_pose1_corrected_2_model_0_docked.pdb,0,-7.93152809,0.820945263,8.12736511
2fde_pose2_corrected_74_model_0_docked.pdb,0,-7.82286835,0.777044117,8.4721489
2fde_pose2_corrected_76_model_0_docked.pdb,0,-7.73126745,0.806304038,8.01865101
2fde_pose1_corrected_12_model_0_docked.pdb,0,-7.61779404,0.834874034,7.92418146
2fde_pose2_corrected_93_model_0_docked.pdb,0,-7.47487307,0.755650461,7.75657082
