filename,model_id,minimizedAffinity,CNNscore,CNNaffinity
4dri_pose5_corrected_26_model_0_docked.pdb,0,-12.3621092,0.834647,7.54730606
4dri_pose1_corrected_17_model_0_docked.pdb,0,-12.2323284,0.781800628,8.36852074
4dri_pose2_corrected_74_model_0_docked.pdb,0,-12.2020149,0.774133801,8.20270061
4dri_pose2_corrected_52_model_0_docked.pdb,0,-11.9936705,0.767051339,8.58207607
4dri_pose2_corrected_44_model_0_docked.pdb,0,-11.8059149,0.813349605,8.2010107
4dri_pose3_corrected_110_model_0_docked.pdb,0,-11.5212259,0.772433519,7.73231077
4dri_pose3_corrected_24_model_0_docked.pdb,0,-11.4400139,0.859481156,8.21618176
4dri_pose4_corrected_6_model_0_docked.pdb,0,-11.4200115,0.89426744,8.50760365
4dri_pose1_corrected_11_model_0_docked.pdb,0,-11.4126692,0.754261255,8.35320663
4dri_pose2_corrected_32_model_0_docked.pdb,0,-11.3043594,0.835863471,8.39952755
4dri_pose1_corrected_13_model_0_docked.pdb,0,-11.2914896,0.841927767,8.72910309
4dri_pose2_corrected_24_model_0_docked.pdb,0,-11.2383499,0.768498361,8.44556046
4dri_pose2_corrected_5_model_0_docked.pdb,0,-11.1193094,0.871186197,8.20959473
4dri_pose1_corrected_6_model_0_docked.pdb,0,-11.0704241,0.809851348,7.96406174
4dri_pose1_corrected_27_model_0_docked.pdb,0,-11.0568657,0.789543927,8.71761703
4dri_pose2_corrected_82_model_0_docked.pdb,0,-11.0475168,0.853621244,8.59188271
4dri_pose2_corrected_46_model_0_docked.pdb,0,-11.0385103,0.824638665,8.34704971
4dri_pose2_corrected_29_model_0_docked.pdb,0,-10.9861832,0.814622939,8.2201004
4dri_pose2_corrected_75_model_0_docked.pdb,0,-10.9551201,0.769467115,8.77492046
4dri_pose3_corrected_101_model_0_docked.pdb,0,-10.9241581,0.813646555,8.45581245
4dri_pose2_corrected_23_model_0_docked.pdb,0,-10.9168692,0.891603172,8.1496973
4dri_pose1_corrected_8_model_0_docked.pdb,0,-10.8638344,0.846504331,8.63804531
4dri_pose2_corrected_68_model_0_docked.pdb,0,-10.8240318,0.840407729,8.20710754
4dri_pose2_corrected_31_model_0_docked.pdb,0,-10.7823029,0.863186359,8.18827724
4dri_pose3_corrected_79_model_0_docked.pdb,0,-10.744832,0.861611247,8.24422741
4dri_pose2_corrected_25_model_0_docked.pdb,0,-10.7140102,0.8508569,8.39884472
4dri_pose2_corrected_69_model_0_docked.pdb,0,-10.68468,0.837504268,8.23077869
4dri_pose4_corrected_8_model_0_docked.pdb,0,-10.6572514,0.814925969,8.10880566
4dri_pose3_corrected_76_model_0_docked.pdb,0,-10.6164427,0.8373577,8.34938812
4dri_pose2_corrected_37_model_0_docked.pdb,0,-10.591918,0.830956578,8.02952862
4dri_pose2_corrected_57_model_0_docked.pdb,0,-10.5793238,0.783516526,8.03279209
4dri_pose2_corrected_4_model_0_docked.pdb,0,-10.5570898,0.83186841,8.25906563
4dri_pose3_corrected_19_model_0_docked.pdb,0,-10.5447664,0.766558409,7.97756433
4dri_pose2_corrected_8_model_0_docked.pdb,0,-10.3284225,0.832590282,8.15788746
4dri_pose3_corrected_123_model_0_docked.pdb,0,-10.3242941,0.770340145,7.84168005
4dri_pose3_corrected_35_model_0_docked.pdb,0,-10.290184,0.810674489,8.43522263
4dri_pose4_corrected_1_model_0_docked.pdb,0,-10.2484436,0.855726659,8.25008774
4dri_pose2_corrected_10_model_0_docked.pdb,0,-10.2461567,0.771138191,8.14866638
4dri_pose3_corrected_124_model_0_docked.pdb,0,-10.2424898,0.754737675,8.17969418
4dri_pose2_corrected_71_model_0_docked.pdb,0,-10.2322836,0.869475305,8.0360136
4dri_pose5_corrected_13_model_0_docked.pdb,0,-10.1981068,0.813201249,8.04845524
4dri_pose2_corrected_39_model_0_docked.pdb,0,-10.0796108,0.84111762,8.20595837
4dri_pose2_corrected_19_model_0_docked.pdb,0,-10.0435925,0.80340147,8.63582897
4dri_pose2_corrected_81_model_0_docked.pdb,0,-9.86763096,0.792473853,8.26643467
4dri_pose2_corrected_26_model_0_docked.pdb,0,-9.83134842,0.826446295,8.03777981
4dri_pose3_corrected_104_model_0_docked.pdb,0,-9.82965279,0.778674901,8.09326172
4dri_pose3_corrected_57_model_0_docked.pdb,0,-9.80408096,0.806415379,7.88920736
4dri_pose3_corrected_126_model_0_docked.pdb,0,-9.78771591,0.789283872,8.02062988
4dri_pose2_corrected_9_model_0_docked.pdb,0,-9.71838379,0.782787144,7.99731827
4dri_pose3_corrected_98_model_0_docked.pdb,0,-9.65625381,0.799232543,7.92284441
4dri_pose2_corrected_28_model_0_docked.pdb,0,-9.64670372,0.820328116,8.64575195
4dri_pose1_corrected_30_model_0_docked.pdb,0,-9.63045025,0.794442296,7.38162756
4dri_pose3_corrected_106_model_0_docked.pdb,0,-9.6136055,0.763943732,7.73079634
4dri_pose3_corrected_87_model_0_docked.pdb,0,-9.56234074,0.764239907,7.88237047
4dri_pose2_corrected_6_model_0_docked.pdb,0,-9.56184673,0.776597321,7.92084312
4dri_pose5_corrected_57_model_0_docked.pdb,0,-9.38817406,0.762746155,8.43640423
4dri_pose2_corrected_40_model_0_docked.pdb,0,-9.2314043,0.758532286,7.93941069
4dri_pose2_corrected_87_model_0_docked.pdb,0,-9.15184212,0.783546805,8.17211246
4dri_pose3_corrected_8_model_0_docked.pdb,0,-8.99025631,0.810707688,8.14739609
4dri_pose5_corrected_40_model_0_docked.pdb,0,-8.98110104,0.810462296,8.32791328
4dri_pose3_corrected_102_model_0_docked.pdb,0,-8.87519932,0.817044795,8.56341457
4dri_pose3_corrected_40_model_0_docked.pdb,0,-8.84648705,0.771437585,8.12243748
4dri_pose3_corrected_115_model_0_docked.pdb,0,-8.81974792,0.768224895,8.01026058
4dri_pose5_corrected_55_model_0_docked.pdb,0,-8.81507778,0.757182419,8.39559364
4dri_pose1_corrected_29_model_0_docked.pdb,0,-8.7524271,0.776931703,8.30914593
4dri_pose2_corrected_89_model_0_docked.pdb,0,-7.96977854,0.837888002,8.08445072
