filename,model_id,minimizedAffinity,CNNscore,CNNaffinity
2fde_pose2_26_comb_18_docked.pdb,0,-8.78906345,0.802300334,9.01753616
2fde_pose2_6_comb_10_docked.pdb,0,-8.64623833,0.790587664,8.58562946
2fde_pose2_89_comb_7_docked.pdb,0,-8.61899567,0.823001921,8.80340672
2fde_pose2_74_comb_14_docked.pdb,0,-8.58998489,0.793142438,8.7516346
2fde_pose2_19_comb_1_docked.pdb,0,-8.34226894,0.756772637,8.48971081
2fde_pose2_26_comb_5_docked.pdb,0,-8.27260685,0.768326998,8.19072342
2fde_pose2_74_comb_7_docked.pdb,0,-8.22114086,0.76481998,8.314785
2fde_pose2_74_comb_4_docked.pdb,0,-7.93903828,0.790819228,8.67021084
2fde_pose2_68_comb_2_docked.pdb,0,-7.44784164,0.8251369,8.19911098
2fde_pose1_2_comb_8_docked.pdb,0,-7.19967937,0.8525635,7.96230268
